CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,BalanceSalaryRatio,TenureByAge,CreditScoreGivenAge
0.5379999999999999,0,0,0.3243243243243243,0.2,0.0,0.0,1,1,0.5067348931822989,1,0.0,0.0857142857142857,0.2350830815709969
0.5159999999999999,2,0,0.3108108108108108,0.1,0.334031478677259,0.0,-1,1,0.5627087386845444,0,7.015554181687527e-05,0.04390243902439024,0.23725222901775844
0.30399999999999994,0,0,0.3243243243243243,0.8,0.6363571759354565,0.6666666666666667,1,-1,0.5696543519906151,1,0.00013202261106814392,0.3428571428571428,0.16880664652567978
0.6980000000000001,0,0,0.2837837837837838,0.1,0.0,0.3333333333333333,-1,-1,0.46912005096486714,0,0.0,0.04615384615384615,0.3108587032303045
0.9999999999999999,2,0,0.3378378378378379,0.2,0.5002462155052676,0.0,1,1,0.3954003607344502,0,0.00014951545581221617,0.08372093023255812,0.3547389868615191
0.59,2,1,0.35135135135135137,0.8,0.45339436422174445,0.3333333333333333,1,-1,0.7487971601287922,1,7.156180413069243e-05,0.3272727272727273,0.2332034468552595
0.9440000000000001,0,1,0.4324324324324324,0.7000000000000001,0.0,0.3333333333333333,1,1,0.050260899915941966,0,0.0,0.252,0.27557401812688825
0.051999999999999935,1,0,0.14864864864864863,0.4,0.4585397202505608,1.0,1,-1,0.5967334880481086,1,9.081494946790527e-05,0.24827586206896549,0.1929107198666528
0.30199999999999994,0,1,0.35135135135135137,0.4,0.5661703921301275,0.3333333333333333,-1,1,0.37468038197647874,0,0.00017857556045560493,0.16363636363636366,0.15534022246635537
0.668,0,1,0.12162162162162166,0.2,0.5364882610306042,0.0,1,1,0.3586049967771922,0,0.00017679773648064385,0.1333333333333333,0.4871601208459213
0.356,0,1,0.1756756756756757,0.6000000000000001,0.4066062041365082,0.3333333333333333,-1,-1,0.40088598461153035,0,0.00011986526133938773,0.3483870967741935,0.28966475002436404
0.29399999999999993,2,1,0.08108108108108109,0.30000000000000004,0.0,0.3333333333333333,1,-1,0.3819286241836095,0,0.0,0.22499999999999998,0.3771242447129908
0.252,0,0,0.21621621621621623,1.0,0.0,0.3333333333333333,1,-1,0.13125953528561976,0,0.0,0.5294117647058824,0.21752265861027187
0.398,0,0,0.09459459459459457,0.5,0.0,0.3333333333333333,-1,-1,0.9543221877689319,0,0.0,0.36,0.40690332326283984
0.57,2,0,0.22972972972972977,0.7000000000000001,0.0,0.3333333333333333,1,1,0.32973183939066175,0,0.0,0.36,0.31608761329305135
0.5319999999999999,1,1,0.36486486486486486,0.30000000000000004,0.5704683124530762,0.3333333333333333,-1,1,0.32160911367035555,0,0.00020961768805612634,0.12000000000000001,0.21012084592145008
0.606,1,1,0.5405405405405406,0.1,0.5285129113577549,0.0,1,-1,0.02543287883992921,1,0.0024506164114963783,0.031034482758620686,0.15230102093968123
0.398,2,0,0.08108108108108109,0.9,0.0,0.3333333333333333,1,1,0.07198102418780992,0,0.0,0.6749999999999999,0.42867258308157097
0.47399999999999987,2,1,0.36486486486486486,0.6000000000000001,0.0,0.0,-1,-1,0.7934419237037137,0,0.0,0.23999999999999996,0.19478851963746224
0.7519999999999999,0,0,0.08108108108108109,0.6000000000000001,0.0,0.3333333333333333,1,1,0.2735883776900694,0,0.0,0.44999999999999996,0.6041351963746223
0.7639999999999999,0,1,0.3108108108108108,0.8,0.0,0.3333333333333333,1,1,0.8544545504095641,0,0.0,0.35121951219512193,0.30920713285682705
0.572,2,0,0.1891891891891892,0.8,0.0,0.3333333333333333,1,-1,0.6927855610210775,0,0.0,0.44999999999999996,0.3572979607250755
0.31999999999999995,2,0,0.27027027027027034,0.4,0.0,0.0,1,-1,0.5945665311037204,1,0.0,0.1894736842105263,0.20374860868182537
0.638,0,1,0.37837837837837845,0.30000000000000004,0.0,0.3333333333333333,-1,1,0.04238489775773586,0,0.0,0.11739130434782608,0.23045284381978193
0.9919999999999999,0,0,0.27027027027027034,0.5,0.0,0.0,1,1,0.9381124897427704,0,0.0,0.23684210526315785,0.4141159166799172
0.45399999999999985,0,1,0.09459459459459457,0.30000000000000004,0.0,0.3333333333333333,-1,1,0.6225430028567728,0,0.0,0.21599999999999997,0.43354984894259807
0.8119999999999999,1,1,0.24324324324324326,0.2,0.5453036330408096,0.0,1,1,0.8502330472560129,0,7.580079637546014e-05,0.09999999999999998,0.3840634441087613
0.44200000000000006,0,1,0.35135135135135137,0.9,0.0,0.3333333333333333,-1,-1,0.19212719814742305,0,0.0,0.36818181818181817,0.19319040098873935
0.44800000000000006,1,0,0.3378378378378379,0.30000000000000004,0.5633738782148561,0.0,1,1,0.5009270885369552,0,0.00013291528414368953,0.12558139534883722,0.20203049251738914
0.122,0,1,0.14864864864864863,0.0,0.23793393564693938,0.3333333333333333,1,1,0.26738368514193106,0,0.00010515510879604469,0.0,0.22162464840087504
0.4819999999999999,2,0,0.2837837837837838,0.30000000000000004,0.0,0.6666666666666667,1,-1,0.702356075005163,1,0.0,0.13846153846153847,0.2449744364396932
